id,display_name,internal_name,sku,category,supplier_name,location,unit,base_weight,trim_percentage,cost_per_unit,stock,allergen_tags,benefits,is_active
9d26d1b2-fc07-4159-a4b5-f8cd25d1f307,Rose Hill Cajun Blend Spice Seasoning,Rose Hill Cajun Blend Spice Seasoning,EBD-2933,Pantry,Wholesale Club  - 014,Nuts / Seeds Shelf - 021,Kgs,0.65,0,26.1385,0,,,True
41ff33d9-2b35-4313-b680-262a141ed5c5,Rose Hill Jerk Seasoning,Rose Hill Jerk Seasoning,EBD-2189,Pantry,Wholesale Club  - 014,Seasonings / Condiment Shelf - 026,Kgs,0.68,0,22.0441,0,,,True
e38a3fc4-1dfe-4ccb-9c7c-7e9f5c84de33,Rose Hill Vegetable Rice Seasoning,Rose Hill Vegetable Rice Seasoning,EBD-1803,Pantry,Wholesale Club  - 014,Seasonings / Condiment Shelf - 026,Kgs,0.75,0,18.12,0,,,True
6b9302cc-eeef-4dba-9832-d5b84efada72,Rotini Pasta,Rotini Pasta,EBD-565,Pantry,Wholesale Club  - 014,Starches / Gf Shelf - 029,Kgs,9.07,0,2.9757,0,,,True
c323b014-ae6c-4278-aab7-8438ece6596c,SUNSPUN Penne,SUNSPUN Penne,EBD-564,Pantry,Wholesale Club  - 014,Starches / Gf Shelf - 029,Kgs,9.07,0,2.9757,3.87,,,True
27ace916-c67d-4b58-9a0c-14e511a21be3,Sambal,Sambal,EBD-315,Pantry,Wholesale Club  - 014,Fridge (condiment Shelf) - 013,Kgs,0.1,0,8.6,3.0189,,,True
8d8ea32c-c2fa-427a-b2ea-86a40c4debb0,Shredded Coconut,Shredded Coconut,EBD-41,Pantry,Tootsi - 009,Dry Storage,Kgs,12.02,0,7.4742,0,,,True
9b0ef5d8-9809-430e-a88e-3792bf00e876,Shredded Toasted Coconut,Shredded Toasted Coconut,EBD-1749,Pantry,Tootsi - 009,Nuts / Seeds Shelf - 021,Kgs,1,0,7.6,38.364,,,True
6dfd3716-98df-47e7-99b8-8f58848d9161,Siracha Sauce,Siracha Sauce,EBD-2114,Pantry,Wholesale Club  - 014,(old) Sauces - 003,Kgs,0.85,0,5.8706,0,,,True
11b3ca04-6d37-4a5a-9991-431c8a85f28e,Sliced Almonds,Sliced Almonds,EBD-1199,Pantry,Tootsi - 009,Nuts / Seeds Shelf - 021,Kgs,11.34,0,12.0811,27.987,,,True
